,text,root
1311,"If it was YOUR body, it would be YOUR body dying during the abortion.",March_for_life
1312,"it’s important to use inclusive language to discuss who is affected by abortion laws. however phrases like “women and femmes” and “people with vaginas” are not accurate. if you want to refer to people who get abortions, you can just say “people who get abortions.”",NARAL
1313,"BREAKING: US Supreme Court reverses Roe v. Wade - Returning decisions to individual states. Written by Justice Alito - with Barrett, Thomas, Gorsuch, and Kavanaugh. More coming...",March_for_life
1314,"Roe v Wade is over. 

May God have mercy on our Nation.",March_for_life
1315,Pro-Life (ANTI abortion) and MAGA... I wanna follow you!,March_for_life
1316,"Even when i was more liberal, i didn't not support abortion. I told my brother that. I think that's the most conservative view i have at that moment. That was years ago.",March_for_life
1317,Thank you to every single state and governor who are doing literally everything within their power to support abortion care and access to people who do not live in their state. We see you.,NARAL
1318,I’m an ordained minister (one of my many hats) and I fully support abortion. I support the separation of church and state. And I will officiate the gayest of weddings.,NARAL
1319,So much for trans rights I guess .... Since men can't speak on abortion..... ... You Democrats are trash . As women I'm ashamed born a female and I am a female that's that you people should be ashamed,March_for_life
1320,You can protest all you want and raise cain all you want. It will never change the fact that Roe vs Wade is gone! N0 amount of chanting screaming ire will change this ruling,March_for_life
1321,"The lack of access to abortion shouldn’t be the only thing that encourages men to take responsibility for their actions, be thoughtful about who they have sex with, and commit to their girlfriend/wife &amp; baby if they get pregnant.",NARAL
1322,There's a really simple solution to not having access to abortion:  DON'T BE A WHORE!,March_for_life
1323,My life was saved by an abortion. My life doesn’t matter to the American Taliban. #AbortionRightsAreHumanRights #AbortionIsHealthcare #AmericanTaliban,NARAL
1324,All of you who are for abortion. It’s a good thing that your parents chose to have you; I guess.,March_for_life
1325,If Susan Collins was a decent person she would bring up a bill to codify Roe vs. Wade. NOW!,NARAL
1326,"""Having an abortion after my fetus died allowed for my...""  That is NOT an abortion!  That is called a miscarriage.",March_for_life
1327,#RoeVWade Anti-choice is massively pro-welfare #scotus #SCOTUSIsCorrupt,NARAL
1328,"After the #rapes of my 32yr old nanny &amp; 22 yr old stepbrother, I turned up preg @ 13. My stepmother wanted to ""fix"" the situation &amp; tried to terminate my preg at home - nearly killing me &amp; my unborn son. I WAS 13 &amp; forced to marry my #rapist. Home #abortions are a real thing.",NARAL
1329,All I wanna do is protest the abortion ban,NARAL
1330,Quit using the label “conservative” (preserve the status quo) to describe what is REACTIONARY (turn the clock back). Many of these trigger laws that now go into effect are MORE restrictive than the states laws that were on the books prior to #RoeVWade.,NARAL
1331,"The @GOP has openly been scheming, scamming and working in broad daylight for decades to destroy Roe v Wade our 1A Freedom from religion.

What have @TheDemocrats been doing all that time?

Increasing defense spending. Voting for endless wars. Letting banks invest our savings!",NARAL
1332,"Democratic governors are protecting abortion rights by:

🖊️ Codifying Roe v. Wade into state law
📃 Passing constitutional amendments guaranteeing abortion rights 
👩🏽‍⚕️ Protecting out-of-state patients who travel for abortions
❌ Vetoing GOP abortion bans

… and we will not stop.",NARAL
1333,"It looks like we have 2 choices here in Utah

1. Mike Lee - Seditionist anti-democracy and anti-abortion Republican
2. Evan McMullin - Pro-democracy, anti-abortion conservative independent that won't support McConnell's obstructionism",NARAL
1334,"You want to know why the prochoice is pissed?

Because data doesn't lie but people sure do. 

We follow data. You listen to whoever tells you what you want to hear. 

#RoeVWade #AbortionIsHealthcare #Dobbs #RoeVsWadeOverturned #RoeVsWade 
#ProLife #ProLifers",NARAL
1335,"Forcing motherhood is *wrong*! Forcing human beings to carry an unwanted pregnancy for 9+ months is *wrong*!

If you’re against abortion…don’t get one! But don’t take away our CHOICE to not be forced against our will to become incubators! 

How would U like it?!

U. hate. masks!",NARAL
1336,"When abortion is illegal then men will not use women for sex and abondon them. And women will not have sex with unworthy men who are irresponsible and not stable. It's actually good for humanity.

#RoeVWade #RoeVsWade",March_for_life
1337,"Ironic how anti-abortionists insist these state laws will protect women at risk of dying during pregnancy. Really? These same people don’t trust the woman or her physician to make private healthcare decisions, so who exactly will make this call? #RoeVWade",NARAL
1338,"Today, we’re angry. Today, we’re heartbroken. 

And tomorrow, we’re going to keep fighting like hell to elect more Democratic governors who will protect abortion rights in 36 races across the country in November.",NARAL
1339,Roe v Wade overturned! Praise God!,March_for_life
1340,"Liberals: Now women no longer have the constitutional right to do what they want with their bodies.

Conservatives: Now babies have the constitutional right to stay as alive. 

#RoeVsWade #RoeVWade #RoeOverturned #Bitcoin",March_for_life
1341,I’ve thought a lot about this since the last administration and the over turning of Roe v Wade . Don’t think for one minute that  life can’t change drastically. One day perhaps not in my lifetime but maybe we try to take our families over borders to escape persecution.,NARAL
1342,"My Nana had a back alley abortion during the Depression. She lived. She &amp; her husband decided together. They didn’t have money for a 4th child. 
My aunt had a back alley abortion. She almost died. 
My mom had a legal abortion. 4 kids was enough. I had a legal abortion, nvr sorry.",NARAL
1343,"Mississippi is awesome!

✅Pioneer the way to overturn Roe v Wade!

✅Win back to back CWS National Championships!

#CWSOmaha #CWS2022 #CWS #hailstate #hottytoddy #RoeVsWade #RoeOverturned #OleMiss",March_for_life
1344,"The Republican party has no morals. 

But they want to ban abortion. This is going to affect their serial cheating somewhat. 

#AboveTheLaw",NARAL
1345,Looks like the abortion clinic in Kentucky is going to lose their litigation against our pro-life law lol,March_for_life
1346,"Even my conservative coworkers are angry at Roe v. Wade being overturned. This is NOT what the people want. We want access to safe abortions. Your body, your choice. My body, my choice. #MyBodyMyChoice",NARAL
1347,"Jesus hates abortion. 

Molech loves abortion. 

Choose this day who you will serve. I choose Jesus.",March_for_life
1348,cannot believe i spent a year in ap gov memorizing the facts of roe v. wade and learning exactly which constitutional principles entitled me to control over my own body and how to defend them just to have it struck down a month after my graduation. this is insane lol,NARAL
1349,Abortion boils down to people sexing one another irresponsibly,March_for_life
1350,"Republicans on abortion: It’s wrong to kill people

Republicans on guns: Killing people is the price of freedom",NARAL
1351,It is disingenuous to have a conversation about #abortion from the perspective of women’s rights the child’s rights matter too. #RoeVsWade,March_for_life
1352,"District 6 in Tn is represented by John Rose, he is running in 2022 his opponent has not been determined yet but it could be Randall Cooper or Clay Faircloth. John Rose is happy that Roe v Wade was overturned show him how you feel by voting Blue in November",NARAL
1353,"We’ve been posting other events because planning a womens march is heartbreaking right now. An abortion of a nonviable fetus saved my life after 2 children, and I went on to have 2 more healthy children. The other members of 860 are men. But we will be planning with @naghartford",NARAL
1354,"Being #ProLife doesn't stop at abortion

It extends to:
- Supporting single parents
- Repairing the shambolic care system
- Legal obligations on absent fathers
- Providing support for families
- Making adoption affordable
- Building community &amp; belonging

The list goes on...",March_for_life
1355,"Given that states now have abortion bans with no exceptions for rape/incest, could someone point me to the strongest/most influential non-theological account(s) claiming to justify rejection of those exceptions? Not interested here in NNL b/c I’ve read the main lines — others?",NARAL
1356,I want an app that I can find products that support the causes I want to support. That tells me which states benefit from sales. I bought a bottle of Vodka made in Minnesota so my money isn't funding anti-abortion states. At least I can try to do better and money talks.,NARAL
1357,"So if women CHOOSE NOT to have an abortion, then they and their supporters deserve to be attacked and firebombed huh? Got it. The right to choose only goes one way.",March_for_life
1358,"Imagine no abortion—it’s easy if you try.
The men use condoms; no babies have to die.
Imagine all the women, loving giving life.
Ah-ah-ah...
You may think I’m a dreamer.
But I’m not the only one.",March_for_life
1359,"FYI Overturning Roe v Wade has nothing to do with believing in or fear of god (whichever god you believe in). If it did, we would NOT hinder enacting better gun laws and racial, gender and economic equality, etc.. #RoeVsWade",NARAL
1360,"I’m tired of dealing with the same people that were constitutional lawyers last week and are healthcare experts today. 
#RoeVWade",NARAL
1361,My daughters live in a post Roe v Wade world!!!,March_for_life
1362,So the Republicans want to keep women barefoot and pregnant! They want to let the man of the house carriy many guns as they want! The roe versus wade decision is not only health risk for women it’s an economic risk for women. Think about it! VOTE,NARAL
1363,"Abortion is healthcare.
Abortion is healthcare.
Abortion is healthcare.
Abortion is healthcare.
Abortion is healthcare.
Abortion is healthcare.
Abortion is healthcare.
Abortion is healthcare.
Abortion is healthcare.
Abortion is healthcare.
Abortion is healthcare.",NARAL
1364,"We knew this was coming, but it doesn't make this decision hurt any less or make it any less terrifying. This decision will do immense harm and in its wake we must organize. Abortion is a human right.",NARAL
1365,"🇮🇱 Israel has eased its regulations on abortion access in response to last week’s 🇺🇸 US supreme court ruling overturning Roe v Wade.

I love Israel in so many ways, but this is just sad and so very wrong. 

#ProLife 👶",March_for_life
1366,"If ANY of you need help getting an abortion, count on me to help.",NARAL
1367,"You can tell me voting doesn’t matter, but in my state they are hitting the gas pedal on abortion bans and trigger laws. In some states they are hitting the brakes.",NARAL
1368,My question is why the fuck do people think that banning abortion is saving lives???,NARAL
1369,"I’ve seen some pretty fuzzy thinking by Republicans I truly respect, on the subject of abortion.   Society agrees on laws based on what we agree on. Not to murder for example.  But, to base law on YOUR morals?   Mine R NONE OF YOUR BUSINESS.  70% society pro abortion. TRUST US",NARAL
1370,"I can't stop cryin, '72 I had an abortion had to fly from AZ to CA he paid and PPH helped and changed my life, I was lucky and today I just cannot stop crying and am so angry and how many young women's lives are going to be ruined...😭😭😭TF",NARAL
1371,"Abortion has never been a Constitutional right.  The document doesn't address it.

The 10th amendment says:

""The powers not delegated to the United States by the Constitution, nor prohibited by it to the States, are reserved to the States respectively, or to the people.""
More...",March_for_life
1372,"Reposted bc I misspelled abortion in the hashtag. You know we talk a lot about rape and incest scenarios, and even ectopic pregnancies, but consider this, what happens to a woman diagnosed with cancer who cannot carry a pregnancy and undergo treatment? #AbortionIsHealthcare",NARAL
1373,My white butt is poor and I in no way consider outlawing abortion as an attack on me! There are other policies that don't help me. But me not being allowed to murder a child is in no way a bad thing!,March_for_life
1374,"Ectopic procedures aren't abortions. So no, you cannot cite ectopic pregnancies as a reason why abortion should be a right.",March_for_life
1375,"Ultrasounds don’t change minds. They are part of the Republican agenda, not medically necessary for an abortion. It’s not a child talking like the ignorant commercial. It’s a clump of cells. #focusonfamily",NARAL
1376,Reasons why abortion should be legal:,March_for_life
1377,"If pro-choicers were truly concerned about protecting women who are in dangerous pregnancies, have ectopic pregnancies or miscarriages, they would be fighting for “common sense abortion reform” for the &lt;5%.   But they aren’t, and that should tell you all you need to know.",March_for_life
1378,Another way for corporations to support abortion access would be to commission gigantic murals on the properties they own in support of reproductive justice. Artists are ready.,NARAL
1379,"When will males be included in the abortion ruling?

ONLY females are impacted.  

What about SPERM?  

Time to be regulated.",NARAL
1380,IF YOU SEE SOMETHING... DO SOMETHING. Democracy doesn't work without it!   #RoeVWade #January6thCommitteeHearings,NARAL
1381,"Social Workers know that our work is never ending. We have so much to do to protect women AND their children. But we're grateful to @scotus for making our jobs in protecting EVERYONE a little easier today. 

#Dobbs 
#abortion",March_for_life
1382,"Robert Reich: “If Susan Collins and Joe Manchin feel betrayed, and others feel outraged, all have an easy fix: They can carve out a reproductive rights exemption to the filibuster, then enact national abortion rights. They could do it Monday.” @Sen_JoeManchin @PattyMurray",NARAL
1383,ROE V WADE IS OVERTURNED!!!,March_for_life
1384,Abortion is the new slavery in that it is aggressively dividing the country.  Is a civil war brewing?,March_for_life
1385,If you’re anti vaxx and anti abortion I hope you get hit by a semi truck carrying manure,NARAL
1386,"All sides: Keep emotions in check. Move past the slogans. Explore the arguments (yours and others') with an open mind.

All this so much easier said than done though, I admit.
#DobbsvJackson #abortion",March_for_life
1387,"We've had to sit quietly and endure 49 years of Roe V Wade as 63 million babies were aborted. Now, it's the left's turn. #noviolence #RoeVWade #babylivesmatter #lgb #fjb",March_for_life
1388,"We can codify abortion if we elect two more Democratic Senators and get rid of the filibuster.

Your vote counts.",NARAL
1389,"I’m tired of seeing people say abortions are only acceptable for rape, incest, or endangering the mother’s life. No. Abortion is acceptable and essential for anyone who wants to have one, for any damn reason.",NARAL
1390,Imma be petty for a minute but literally 2 men with serious and creditable accusations of sexual assault overturned a woman's right to choose and they trotted out a black man and the wife from the handmaids tale to window dress up this attack on privacy and liberty #RoeVWade,NARAL
1391,"My grandma just said she never thought she would see the day they overturned roe v wade. She is 65. We are in mourning. Many people will die bc of this, being forced to carry children they either don’t want, can’t provide for, or exacerbate a medical condition. People may not /1",NARAL
1392,"This is your reminder before hitting the rack. Remember BLM protests? 

When there’s a buncha cops around in riot gear, you have no First Amendment rights. #RoeVsWade #RoeVWade #RoeVWadeprotest",NARAL
1393,"First of all stop treating abortion as a form of contraception, second it is not a healthcare, third there is nothing in constitution to guarantee it. Fourth, it is a human life that should have rights too.",March_for_life
1394,"To those who are saying banning abortion diminishes women's rights, what would you say of the unborn babies who happen to be female? I would say their rights have been greatly enhanced.",March_for_life
1395,I will personal fly you to Nevada if you need an abortion!,NARAL
1396,"When asked if they will act to protect abortion rights and access and possibly use federal land, VP Harris - 
""We have to also recognize we are 130 odd days away from an election.""

That isn't all she said, but damn if that isn't telling.",NARAL
1397,If you support Roe v Wade being overturned today please unfollow me. You are the scum of the earth,NARAL
1398,I’m matching every employee’s contribution to abortion rights and funds for the rest of the year. We’re also supporting voting registration for service days. What are you doing? #RoeVsWade,NARAL
1399,"“YoU’RE TAKinG AwAY OUr CONsTiTUtiONAL RiGHt TO ABorTiON!!!”

No sweetie. We’re telling you it never existed.",NARAL
1400,Godless people promote the murder of babies in the womb via abortion.,March_for_life
1401,The notion that Biden is sleeping on this Roe v. Wade emergency is so effing laughable.  THere will be a series of serious actions.,March_for_life
1402,"#Dobbs: ""What sharply distinguishes the abortion right from the rights recognized in the cases on which Roe &amp; Casey rely is something that both those decisions acknowledged: Abortion destroys...what the law at issue in this case regards as the life of an 'unborn human being.’""",March_for_life
1403,"Today 24 June 2022 has been the best day of my life. In memory of 63 million undeserved deaths, but in the wisdom the mass murder stops now, RIP Roe versus Wade, welcome All Lives Matter.
@PPFA
@TheDemocrats
@GOP 
@POTUS @JoeBiden
@USSupremeCourt
Arrogant prick @EmmanuelMacron",March_for_life
1404,"Roe vs Wade has been overturned. It isn't a surprise but I'm angry/hurt/sad. I thought I would be pissed off at the Christian Nationalists but I'm not. 

I'm pissed off at us.

I'm pissed off because our apathy, infighting, and short sightedness is what allowed this to happen.",NARAL
1405,I CANNOT BLOODY WAIT for the anti-abortion moment to out-populate the pro-abortion movement. 🥳,NARAL
1406,"61 Million Babies Have Died in
Abortions
Since Roe v. Wade",March_for_life
1407,"100+ years from now, when abortion is banned nationwide, our descendants be looking back at history appalled at the barbaric practice of Abortion. This will be no different than how we are appalled at the Aztec's human sacrifice rituals.",March_for_life
1408,“these companies will pay for your travel to get an abortion” yeah you know why? bc it’s less expensive than giving you maternity leave and less of a hassle than laying you off. those companies don’t give a shit about your rights. they’ll opt for the cheapest option every time,March_for_life
1409,"Thank you @USSupremeCourt for overturning Roe v. Wade!
The singing of the Doxology is very appropriate today.

Praise God, from whom all blessings flow;
Praise Him, all creatures here below;
Praise Him above, ye heav’nly host;
Praise Father, Son, and Holy Ghost!",March_for_life
1410,PRAISE GOD I JUST SAW THE NEWS ROE V WADE IS OVERTURNED 🙌🏻🙌🏻🙌🏻🙌🏻🙌🏻🙌🏻,March_for_life
1411,Hey @Venmo can you reach out to @AbortionFunds and set them up with a transaction-fee free profile and make it super easy to donate unspent Venmo balances (or make donations via app) to local abortion funds?,NARAL
1412,"Even if you don’t believe in abortion, don’t think you are safe. The Republicans are after you if you don’t vote like them and look like them. They will take away your rights. @ChuckGrassley @DefeatGrassley",NARAL
1413,"Remember hearing about Dred Scott v. Sanford where the Court said slaves could not be U.S. citizens. People especially black people should be glad #RoevsWade was overturned since who the
#abortion industry/#PlannedParenthood targets the most is #black #unborn #babies.",March_for_life
1414,"Funny how those who voted for roe v wade were men, and women seemed to think that was a great advancement for feminism and women's rights. Now those who came to the verdict to strike roe v wade include 3 women, now it's a problem of the patriarchy?",March_for_life
1415,God has given us grace and grace abundantly! It’s so astonishing how He continues to be patient not only with me and others around me but with this world and the culture. This nation deserves judgement yet He continually provides grace and Roe V Wade overturning is proof!,March_for_life
1416,Went to establish care today + declined to give my period information due to Roe vs Wade being overturned. My nurse practitioner didn’t even know our laws had no expectations for rape or incest. How do people just shove their head in the sand? How can we educate the masses?,NARAL
1417,"I’m still devastated by the abortions I had (20 yrs ago) the babies were 14 weeks &amp; 17 weeks post conception, the 1st was at Planned Parenthood, West Chester, PA. The 2nd at Einstein Medical in Phila, PA. I should never have been legally permitted to murder the unborn. #abortion",March_for_life
1418,"I love how the pro-abortionists say that all states should have abortion rights. Geography, right? Shouldn't matter WHERE you are? Same applies to a baby. It shouldn't matter WHERE he or she is, they have a RIGHT to LIFE!",March_for_life
1419,"The Supreme Court has overturned Roe v. Wade.

This will not end abortions. Only legal ones.

#Roe #RoevWade #Abortion #Dobbs",NARAL
1420,Republicanism is destroying America #RoeVWade,NARAL
1421,Also fuck every democrat for not doing literally anything about the over turning of Roe v wade and telling us to vote. You’re literally in office now??? DO SOMETHING.,NARAL
1422,Why mince words? #Abortion bans and bounties are state sponsored terrorism. #RoevWade #BansOffOurBodies #txlege #Texas,NARAL
1423,The Texas Supreme Court just allowed a 1925 (!!!!!) law banning abortion to take effect. Read that and then read it again. A 1925 law.,NARAL
1424,I believe many on the left would actually be pro forced abortion to support climate change.,March_for_life
1425,"Christian’s that are silent about abortion literally makes me sick!
They are the reason roe was passed in 1973!",March_for_life
1426,"Maybe a dumb question, but:

Could an individual who survived a botched abortion attempt in a state where it’s legal sue the government on the grounds his/her rights under the 14th amendment were violated?",March_for_life
1427,Would you date an insensitive woman that believes it is ok to kill an unborn baby?,March_for_life
1428,"Terminating an ectopic pregnancy is not abortion. 

Ectopic pregnancies are not sustainable and life-threatening. They REQUIRE a termination. 

The idea that banning abortions includes ectopic pregnancies is ABSURD. 

Know the facts. 

#AbortionIsMurder",March_for_life
1429,"👈🏾this account supports the overturn of the Roe v. Wade tbh, because I stand for life and I refuse to condone anything demonic. 

Not now. Not ever.",March_for_life
1430,"Facts:
There are no abortion bans that do not protect the life of the mother. 

Ectopic pregnancies are not viable pregnancies, and neither are miscarriages. The removal of these heartbreaking pregnancy outcomes is not abortion and was not prior to this ruling.",March_for_life
1431,"BREAKING: Texas abortion providers have filed a lawsuit seeking to block the state’s pre-Roe statutes and be allowed to resume abortions until the trigger law goes into effect. 

Hearing Tuesday at 9:30am

More TK @TexasTribune",March_for_life
1432,It took years in a relationship before I realized what a narcissist was I was abused he made me think he was a dad he wasn't I was left to take care of 2 beautiful babies I don't regret it. My abuse will never push me to be pro abortion or choice .... I AM PRO LIFE.,March_for_life
1433,"BREAKING: The Supreme Court has overturned Roe v. Wade, eliminating the constitutional right to abortion nationwide.

This is a direct assault on anyone who can get pregnant.",NARAL
1434,biden wants to codify roe v wade but is nominating an anti-abortion lawyer to become a federal judge for his own benefit? interesting.,NARAL
1435,"Roe V Wade has been overturned!!! Praise the Lord!

But, the fight isn’t over yet. This is just the beginning. Keep praying, and keep fighting for pro-life laws at the state level. As of now only 12 states have laws banning abortions, we still have a long way to go. Keep praying!",March_for_life
1436,"Honestly, like wtf is up the Supreme Court lately? Guns, abortion, state sanctioned prayer.",NARAL
1437,"The #DredScottDecision by #SCOTUS in 1857 was a significant cause of the #CivilWar. That decision denied #HumanRights for #BlackSlaves . How different is the denial of #PrivacyRights to women in the #DobbsDecision which just #overturned #RoeVWade?
#GOPAntiFreedom
#RegisterDems",NARAL
1438,"I’m so thankful the men in my life have vasectomies or want one, but the majority of my life has been risking my sexual health for the pleasure of a MAN. 

ALL ON THE BASIS that abortion was easily obtainable. 

If you’re one of those men then you should be protesting",NARAL
1439,Big news from SCOTUS today. Now the decision for abortion is in the STATES' hands instead of the Government's hands. Praying for all afflicted by abortion.,March_for_life
1440,"To all those progs who ignorantly said that Abortion bans are against Halakhah, remember that Vasectomies are most forbidden to undergo or perform",March_for_life
1441,Good thing the #SupremeCourtInjustices got the Miranda rights thing outta the way prior to allowing more guns and banning abortion nationwide.,NARAL
1442,Late August in Chicago! Biker Rally for Abortion! Get on your motorcycles and show support for the women in your life! Raise money for @ChiAbortionFund More details TBA! #abortionprotest #ChicagoPride #AbortionBan #motorcycle #scoot #abortionfunds #fundraising,NARAL
1443,"Im heartbroken that one, I live in the deep south of the AL,where for 20 something years I hid my abortion like a crime. And it was not, at the time. Now 27 years later, Supreme Court does this and more is coming.i started telling my story a few years ago OUT LOUD to try save RVW",NARAL
1444,We are treated WORSE THAN livestock - if a prize broodmare needed an abortion to live - it would be given one.,NARAL
1445,"Elite women control abortion advocacy. How? Anytime a new woman enters the space, they swiftly triagulate us &amp; tell the newbie we’re the ones to watch out for. ‘You don’t want to be associated with her.’ The newbie must then choose btwn self-preservation/access or building power.",NARAL
1446,Not the owner of brewers cafe in Richmond being happy roe v wade was overturned 😶🤡,NARAL
1447,#blackgenocide ends today #SupremeCourt #abortion,NARAL
1448,"There occurred a RALLY/PROTEST against SCOTUS and the ruling AGAINST keeping abortion legal in the center of downtown of ""my"" city. We stand PROUD of those who protest this ruling!!! In the midst of the protesting crowd is someone Dan and I stand strong with -- our friend. 🌱🙏🏼🤟🏼",NARAL
1449,RBG thought (and said) roe v wade was flawed and in danger of being rescinded some day.,March_for_life
1450,"#RoeVsWade Medicine -- pills, tablets. medication abortion used by 54% of women who have abortions is FDA approved, safe and effective. No clinic. No waiting. Pass the word. Can be mailed by all US carriers.",NARAL
1451,"So apparently, some clinics are now no longer dispensing BIRTH CONTROL. #RoeVWade #BirthControl",March_for_life
1452,DeSantis is definitely going to ban abortion in Florida 👀,March_for_life
1453,What are the best reliable abortion-related funds to donate to?,NARAL
1454,"wow. it's gone. I can't believe it. Although this is an amazing moment to celebrate…this does not mean the fight to end
abortion is over. Now, it will go to the states to regulate abortions. I pray that I will see the complete erasure of abortion in America in my lifetime.",March_for_life
1455,"Pornography needs to end. The sexual revolution needs to end. ""Sex work is real"" work needs to end. Abortion needs to end. #RoeVsWade #RoeOverturned",March_for_life
1456,"I got an email from TBV and she finally used the word ""abortion""

#MOsenatePrimary",NARAL
1457,Fact most people who have had an abortion do not regret it.,NARAL
1458,"Not a single woman made abortion fights a Constitutional precedent. Please shut the hell up about your disgusting desires to shut me down on the basis of, of all things, my dick when the facts of the situation prove you're just a coward who wishes to silence me.",March_for_life
1459,"Abortion rights can only be a human rights issue if the fetus or embryo isn't human.
But it is.
This is a scientific fact. Humans do not, cannot, change species. 
Therefore, there are no abortion rights. 
You've been had. 
Sorry.

#ProLife",March_for_life
1460,"#WhiteLife 
Horrifying. They're saying it out loud these days
Pay attention: Senator John Cornyn #GOPDirtbag wants SCOTUS to reconsider Brown vs Board of Ed (which outlawed segregation) 
A spokeswoman for Rep Mary Miller calling the Roe v Wade decision a victory for 'white life'",NARAL
1461,"Ladies .... I will NEVER tell you, you can't have an abortion. You alone have to live with your decision. But it isn't a constitutional right. Follow the law of your state. Pay attention to your own bodies. Birth Control works 99% of the time. Buy condoms, choose what works 4 U.",March_for_life
1462,"This holocaust of abortion has victims who are called mere tissue or fetuses. But these children are made in God’s image, but that is being ignored as children are being killed in a holocaust of unimaginable proportion.",March_for_life
1463,Why do these antichoice zealots always assume abortion-seekers are massive sluts (not that I condone that word) when statistics tell a very different story? They claim it’s an avoidance of responsibility or consequences when it’s literally taking responsibility for consequence.,NARAL
1464,"No matter who we are or what we look like, we deserve the freedom to decide what happens with our bodies. 

We should have the freedom to make the best medical decisions about our lives, including accessing essential medical care like abortion. 

#AbortionRightsAreHumanRights",NARAL
1465,"President Biden should immediately forgive all student debt, owing to women and young families needing the financial stability necessary to obtain an abortion or move to a state where abortion care is available.",NARAL
1466,"Hi there! If the Orange Overlord forced you to get an abortion or you have proof that he forced someone else, or if you were sexually harassed, attacked, raped, became impregnated, or were forced to have an abortion or all of the above by another member of the GQP, DM me.",NARAL
1467,"Western society is near its end.

Witness multitudes going into a demonic frenzy when their so called ""right"" to murder unborn children is struck down.

We have traded places with Babylon.",March_for_life
1468,"Roe v Wade has successfully been dismembered to death. You’d think, with their track record of support for this type of procedure, the pro-aborts would be happy. 🙂",March_for_life
1469,you know what companies can do to support their employees? offer travel and health expenses for women in need of an abortion in hostile states.,NARAL
1470,"Roe is gone, space now for the light to get in…. Exactly what the abortion lobby is scared off. 🙏💕😊",March_for_life
1471,"Guns can be used to protect yourself, or someone else.

Abortions are used solely to protect yourself, while you pretend like you’re protecting someone else. 

A gun *can* be used to destroy innocent lives. Abortion *is* used for this purpose.

Oh, and one is in The Constitution.",March_for_life
1472,If you think women are the only people on the face of this earth getting an abortion? That makes you a SEXIST and a MISOGYNISTS,NARAL
1473,"Thank you @NARAL for your endorsement!

I promise to ALWAYS keep up the fight for reproductive freedom when I am in the U.S. Senate. 

My opponent, Dr. Oz, would be another vote for an extreme nationwide abortion ban that would punish women + doctors for seeking safe abortions.",NARAL
1474,The media and deranged Democrats have brainwashed good women in this country that abortion is a good thing.,March_for_life
1475,"😭😭😭😭 ""I can no longer have unprotected sex whenever I want and then murder the inevitable outcome, unless I live in a state that allows such a thing which I will ignore"" 😭😭😭😭~pro abortion nut jobs everywhere today",March_for_life
1476,"pro-abortion activists constantly cite rape, incest, or life-threatening reasons for why women should be able to kill their unborn children, just one percent of women get an abortion because they became pregnant through rape, and less than 0.5 percent do so because of incest.",March_for_life
1477,"“The thief comes only to steal and kill and destroy; I came so that they would have life, and have it abundantly.”
John 10:10 #RoeVWade #ProLife",March_for_life
1478,"LOL!

TEXAS FINDS!

A 1925 LAW!

Re ABORTION!

9-0 REPUBLICANS!

AND THIS TEXAS SUPREME COURT!

UPHELD IT!

*** 1925 ***

SIGH

THE DARK AGES!

ARE YOU HAPPY NOW?

TEXAS?

RAPE BABIES?!

HEARTLESS",NARAL
1479,Abortion is a critical part of abolitionist struggle. Abolition is a critical part of the struggle for abortion.,NARAL
1480,Skol! The tossing of Roe back to the states is the right thing to do. The Federal Government has no business forcing states that don't want abortion to provide that! Other states that allow it have not changed.  The left's salty tears is about a loss of power,March_for_life
1481,"Babies are humans, babies are alive, babies' lives matter too, babies are not a burden, babies are not just a clump of cells, and babies are worth protecting. #RoeVWade",March_for_life
1482,Everyone eligible to vote who's mad and out protesting this weekend better also show up to vote in November. #RoeVWade,NARAL
1483,"As someone who’s seen a lot of pictures &amp; stickers from Rise Up 4 Abortion Rights these past few days, please research the pro-abortion access orgs before supporting them. Not all orgs are created equal &amp; supporting certain orgs can actually be counter-productive",NARAL
1484,It looks like the overturning of Roe v Wade is scaring people into fleeing the hookup culture. What!? That's feeding into what the religious right totally wants people to do. Fight the christofascists by doubling down and leaning into the Russian Roulette of hooking up! ...,NARAL
1485,Wait until the GOP unleashes abortion investigation squads.,NARAL
1486,"Other religions no longer have a 
place in America. Extreme christian mandates will silence science, human
rights, and democracy. We’ll have a
genocide, but it won’t be by abortion
as the fascist minority feigned it to be. 
#AbortionisHealthcare #VoteBlue",NARAL
1487,"Conservatives read The Handmaid's Tale and thought it was an instruction manual. 🙃🙃🙃
#RoeVWade",NARAL
1488,Abortion and slavery both made money off of the death of a person’s Liberty.,March_for_life
1489,"""There are some pro-life people in Massachusetts who honestly and truly believe. We do not do anything to try to vilify or judge women and we should not be judged,"" says anti-abortion state Rep. Collen Garry. She also said the debate has become ""angry"" and --oh, whoops, ""nasty.""",March_for_life
1490,"Looking for information on how and where to access abortion in Canada? 

Canada-wide: @actioncanadashr's Access Line is 1‑888‑642‑2725

#HamOnt's abortion clinic: 905-389-5068

#Niagara: reach out to niagarareproductivejustice@gmail.com",NARAL
1491,Fuck all of you antivaxxers/antimaskers if you haven’t put that same fucking energy into abortion rights.,NARAL
1492,"""The unborn” are a convenient group of people to advocate for. They never make demands of you; they are morally uncomplicated. Unlike the incarcerated, addicted, or the chronically poor; they don’t resent your condescension or complain that you are not politically correct.",NARAL
